LON,LAT,EDO,CLAVE,ESTACION,dic-20
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",15.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",0.02
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",6
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",0.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",41.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",129.5
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",62.8
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",96
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",33
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",58.3
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",35.9
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",65
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",20
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",15.4
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",42
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",57.01
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",8.2
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",16.2
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",33
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",13
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",15.25
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",23.7
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",50.02
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0.51
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",9.02
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",42.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",11.01
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",2.7
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",15.4
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",8.6
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",13.97
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",12.4
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",8.31
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",3
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",0.5
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",14.11
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",8
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",22.7
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",24.71
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",9.8
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",15.01
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",32
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",14.8
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1.01
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",7
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",8.64
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",6
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",4
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0.01
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",18.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",5.31
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",24.81
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",30.81
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",5.12
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",39
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",24.01
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0.01
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",4.5
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",9.7
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",8.3
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",2.4
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",118.4
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",94.6
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",1.4
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",0.7
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",2.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",1.8
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",3.3
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",18.1
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",4.4
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",29
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",114
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",311.1
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",13
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",1.1
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",0.8
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",291.1
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",291.1
