LON,LAT,EDO,CLAVE,ESTACION,ago-23
-99.400833,18.459444,GRO,BVSGR,"Buenavista, Gro.",124
-100.658333,18.350556,GRO,CA2GR,"Ciudad Altamirano, Gro. SMN*",237.6
-100.664444,18.358611,GRO,CALGR,"Ciudad Altamirano, Gro.",331.7
-99.701111,17.672222,GRO,CCHGR,"Chichihualco, Gro.",122.1
-100.089444,17.008889,GRO,CDBGR,"Coyuca de Benítez, Gro.",259.2
-99.5,17.545278,GRO,CHIGR,"Chilpancingo, Gro.",224.2
-99.175833,17.608611,GRO,CHLGR,"Chilapa, Gro.",165.2
-98.411944,16.47,GRO,CNLGR,"Cuajinicuilapa, Gro.",142.4
-99.661944,18.245278,GRO,COCGR,"Cocula, Gro.",420.8
-98.970833,16.614722,GRO,COPGR,"Copala, Gro.",150.8
-101.054444,17.376944,GRO,CYQGR,"Coyuquilla, Gro.",278
-99.995556,17.947778,GRO,ECAGR,"Ing. Carlos Ramírez Ulloa, Gro.",327.6
-99.516667,17.233333,GRO,EOCGR,"El Ocotito, Gro.",289.8
-99.332778,18.3025,GRO,HTZGR,"Huitzuco, Gro.",220
-99.55,18.349722,GRO,IGLGR,"Iguala, Gro.",258.6
-98.513333,17.6225,GRO,IXTGR,"Ixcateopan de Tlapa, Gro.",286.2
-101.003056,18.418611,GRO,LCLGR,"La Calera, Gro.",53
-100.018056,16.958333,GRO,LDCGR,"Laguna de Coyuca, Gro.",240
-99.235,16.76,GRO,LDGGR,"Las Vigas, Gro.",150
-99.369167,17.471389,GRO,MCHGR,"Mochitlán, Gro.",307.8
-99.799722,16.8,GRO,ODAGR,"Observatorio de Acapulco, Gro.",128.9
-99.5,17.6,GRO,ODZGR,"Observatorio de Zumpango, Gro.",160.2
-98.729722,17.777778,GRO,OLNGR,"Olinalá, Gro.",397.5
-98.433333,16.683333,GRO,OMEGR,"Ometepec, Gro.",234.1
-99.45,17.483333,GRO,PETGR,"Petaquillas, Gro.",222.5
-98.500556,16.655833,GRO,QTZGR,"Quetzala, Gro.",145.7
-99.166111,16.823611,GRO,RMEGR,"Revolución Mexicana, Gro.",186.5
-100.472778,17.139444,GRO,SJEGR,"San Jerónimo, Gro.",300.2
-99.482778,16.796389,GRO,SNMGR,"San Marcos, Gro.",387.5
-99.605278,18.554444,GRO,TAXGR,"Taxco, Gro.",218
-99.526389,17.1675,GRO,TCOGR,"Tierra Colorada, Gro.",124
-99.976389,17.789722,GRO,TLAGR,"Tlacotepec, Gro.",268.3
-98.6,17.5,GRO,TLPGR,"Tlapa, Gro.",200.7
-99.399444,17.568056,GRO,TXTGR,"Tixtla, Gro.",216.1
-100.265833,18.382778,GRO,VGRGR,"Vicente Guerrero, Gro.",237
-99.466111,18.295833,GRO,VTRGR,"Valerio Trujano, Gro.",170.6
-98.488333,17.903889,GRO,XXHGR,"Xochihuehuetlán, Gro.",179.5
-99.933333,17.603333,GRO,YXTGR,"Yextla, Gro.",149.9
-101.548889,17.645278,GRO,ZHTGR,"Zihuatanejo, Gro.",174.4
-101.554167,17.645,GRO,ZIHUATANEJO,"Zihuatanejo, Gro. SMN*",134.6
-101.536667,20.446944,GTO,ABSGJ,"Abasolo, Gto.",176.73
-100.712222,20.0325,GTO,ACNGJ,"Acámbaro, Gto.",138.06
-100.683333,20.533333,GTO,AEGGJ,"Apaseo el Grande, Gto.",232.33
-100.5825,20.553889,GTO,AMCGJ,"Ameche, Gto.",167.04
-101.370833,20.712778,GTO,ANSGJ,"Arandas, Gto.",134.73
-100.620833,20.454167,GTO,APSGJ,"Apaseo el Alto, Gto.",189.6
-101.625556,20.499167,GTO,ATBGJ,"Agua Tibia, Gto.",210.02
-101.838333,21.048611,GTO,BRRGJ,"El Barrial, Gto.",115.01
-100.816667,20.536389,GTO,CLYGJ,"Celaya, Gto.",287.81
-101.474722,21.068056,GTO,COMGJ,"Comanjilla, Gto.",130
-100.363333,20.198333,GTO,CORGJ,"Coroneo, Gto.",207.3
-101.630278,20.506667,GTO,CORRALEJO,"Corralejo Hidalgo, Gto. Protección Civil*",205.51
-101.666667,20.616667,GTO,CRMGJ,"Cuerámaro, Gto.",241.32
-100.962778,20.487778,GTO,CRTGJ,"Cortázar, Gto.",247.7
-100.9,20.95,GTO,CSRGJ,"Cinco Señores, Gto.",170.24
-101.6675,21.195278,GTO,CSTGJ,"Los Castillos, Gto.",127.52
-100.933333,21.15,GTO,DHGGJ,"Dolores Hidalgo, Gto.",76
-100.9,20.279722,GTO,ECBGJ,"El Cubo, Gto.",139.57
-101.244444,20.872222,GTO,ECHGJ,"El Chapín, Gto.",143.13
-101.37,20.715833,GTO,ECNGJ,"El Conejo, Gto.",134.73
-101.678889,21.173611,GTO,EPLGJ,"El Palote, Gto.",143.42
-101.996667,20.800556,GTO,FRIAS,"Frías, Gto. Protección Civil*",123.92
-101.7425,20.439167,GTO,GLNGJ,"La Golondrina, Gto.",132.51
-101.266111,21.014722,GTO,GTOGJ,"Observatorio de Guanajuato, Gto.",206.72
-100.825833,20.848056,GTO,IALGJ,"Ignacio Allende, Gto.",91.54
-101.35,20.683333,GTO,IRPGJ,"Irapuato, Gto.",189.52
-100.518333,20.145556,GTO,JCRGJ,"Jerécuaro, Gto.",211.7
-101.844167,20.675278,GTO,LADGJ,"Las Adjuntas, Gto.",168.61
-101.073056,20.286944,GTO,LDYGJ,"Laguna de Yuriria, Gto.",129.56
-101.693333,21.136389,GTO,LENGJ,"León, Gto.",219.03
-101.594444,20.842778,GTO,LGVGJ,"Presa la Gavia, Gto.",120
-101.358889,20.276111,GTO,LJIGJ,"Las Jícamas, Gto.",177.2
-101.107778,21.324167,GTO,LQMGJ,"La Quemada, Gto.",119.3
-100.501944,21.223611,GTO,MINERALPOZOS,"Mineral de Pozos, Gto. Protección Civil*",17.07
-101.48,21.65,GTO,OCMGJ,"Ocampo, Gto.",83
-101.111389,20.5225,GTO,PERGJ,"Pericos, Gto.",166.72
-100.878333,21.105,GTO,PNLGJ,"Peñuelitas, Gto.",89.8
-100.496111,21.22,GTO,POZGJ,"Pozos, Gto.",25.03
-101.287778,20.867222,GTO,PRSGJ,"La Purísima, Gto.",137.63
-101.216667,21.483333,GTO,SFEGJ,"San Felipe, Gto.",97.1
-99.831389,21.320833,GTO,SGORDAII,"Sierra Gorda 2, Gto. SMN*",43.4
-101.016667,20.4,GTO,SJLGJ,"Santa Julia, Gto.",241.3
-101.199444,20.565833,GTO,SLMGJ,"Salamanca, Gto.",179.65
-100.669722,20.055278,GTO,SLSGJ,"Solís, Gto.",171.07
-100.885833,20.216667,GTO,SLVGJ,"Salvatierra, Gto.",132.04
-100.751944,20.8975,GTO,SMAGJ,"San Miguel de Allende, Gto.",215.72
-100.745833,20.577778,GTO,SMOGJ,"San Miguel Octopan, Gto.",141.4
-101.066944,20.298333,GTO,SRTGJ,"Santa Rita, Gto.",213.57
-101.3,20.6,GTO,TEMGJ,"Temascatío, Gto.",221.03
-101.178889,20.382778,GTO,VDSGJ,"Valle de Santiago, Gto.",294
-100.0925,21.298889,GTO,XICGJ,"Xichú, Gto.",59.9
