LON,LAT,EDO,CLAVE,ESTACION,jun-19
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",44.1
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",32.8
-102.464167,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",33
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",65.1
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",114.99
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",35
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",30.9
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",141.2
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",46.7
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",17.2
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",24.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",96.42
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",19.9
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",78.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",38.9
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",33.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",49
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",25.3
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",48
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",32.5
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",46.8
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",39
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",49
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",116.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",0.01
-113.560278,28.896389,BC,BAABN,"Bahía de los Angeles, B.C. SMN*",0.6
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243611,BC,CSRBN,"Carmen Serdán, B.C.",0
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",0
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",0.01
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. Rodríguez 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.4
