LON,LAT,EDO,CLAVE,ESTACION,sep-19
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",37.2
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",102.41
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",328.7
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",175.8
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",201.12
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",370.1
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",659.56
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",140.8
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",229.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",545
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",322.8
-92.755278,15.071111,CHIS,ENCRUCIJADA,"La Encrucijada, Chis. SMN*",139.6
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",545.6
-92.655833,15.330833,CHIS,ESCCP,"Escuintla, Chis.",990.32
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",661.9
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",166.91
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",565.43
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",777.22
-92.454167,16.712778,CHIS,HUIXTAN,"Huixtán, Chis. SGT*",148.2
-92.471389,15.146944,CHIS,HUIXTLA,"Huixtla, Chis. SGT*",587.2
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",520.2
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",575.4
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",215.41
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",362.51
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",146
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",288.92
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",643.51
-93.105833,16.741944,CHIS,MODULO5,"Módulo Cinco, Chis. SGT*",131.5
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",198.2
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",196
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",249.2
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",196.2
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",186.81
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",361.5
-93.474444,17.463611,CHIS,PENITAS,"Peñitas, Chis. SGT*",360.1
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",535.9
-93.186667,16.753889,CHIS,PTECLUBCAMP,"Puente Club Campestre, Chis. SGT*",56
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",159.4
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",220.4
-93.552778,17.348333,CHIS,RCACP,"Rómulo Calzada, Chis.",188.2
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",421.1
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",297.8
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",262.5
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",381.91
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",154.6
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",143.91
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",247.4
-93.1,16.786111,CHIS,SECTEC103,"Secundaria Técnica 103, Chis. SGT*",81.3
-93.133889,16.747222,CHIS,SECTEC59,"Secundaria Técnica 59, Chis. SGT*",93.1
-92.321944,15.558056,CHIS,SILTEPEC,"Siltepec, Chis. SGT*",267
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",294
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",434.8
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",220.3
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",331.4
-92.820833,16.938889,CHIS,SNACP,"Santa María, Chis.",121.01
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SGT*",338.1
-92.243333,14.99,CHIS,TAMCP,"Tapachula Malpaso, Chis.",849.5
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",463.91
-93.545833,15.875,CHIS,TPICP,"Tres Picos, Chis.",526
-93.0575,16.736111,CHIS,TRABAJOSOCIAL,"Trabajo Social, Chis. SGT*",71
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",137.25
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla Gutiérrez, Chis.",111.82
-93.068056,16.716944,CHIS,TXZCP,"Tuxtla Gutiérrez Zoomat, Chis.",190.63
-93.121944,16.778056,CHIS,UNICACH,"Universidad de Ciencias y Artes de Chiapas, Chis. SGT*",74.3
-93.270833,16.233333,CHIS,VIFCP,"Villaflores, Chis.",192.8
-93.330556,17.116667,CHIS,YAMCP,"Yamonhó, Chis.",116.5
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. SGT*",86.1
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",18.03
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",34
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",106.01
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",10
-102.064444,26.983333,COAH,CCGCL,"Cuatro Ciénegas, Coah.",70.3
-100.950278,29.327778,COAH,CDACL,"Ciudad Acuña, Coah.",4.02
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",157
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",1
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",61.92
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",108.01
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas Ciudad Acuña, Coah. CILA*",1.6
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",50.2
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",40
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",233
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",115.8
-100.566667,28.683056,COAH,PNEGRASob,"Observatorio de Piedras Negras, Coah. SMN*",8.2
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",20.4
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",25
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa de Fuentes, Coah. CILA*",12
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",82
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",186.32
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jiménez, Coah. CILA*",0.75
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",53.51
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",15
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",124
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",39.33
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",117.22
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",45.21
-103.45,25.533333,COAH,TORREONob,"Observatorio de Torreón, Coah. SMN*",32.4
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",55.5
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",313.5
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",634.83
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",422.71
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",550.21
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",398.51
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",451.45
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",445.72
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",279.7
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",577.95
-114.733611,18.348611,COL,ICLARIONmar,"Isla Clarión, Col. SEMAR*",0.25
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",288.036
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",518.5
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",538.21
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",551.91
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",532.5
-104.1,18.936111,COL,RDRCM,"Radar, Col.",291.7
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",590.02
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",347.52
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",16.52
-99.174167,19.240833,DF,AMC,"Academia Méx.cana de Ciencias, Cd. de Méx. UNAM*",66.76
-99.118056,19.469722,DF,BONDOJITO,"Bondojito, Cd. de Méx. UNAM*",122.09
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",77.33
-99.059722,19.383611,DF,CCHOTE,"Colegio de Ciencias y Humanidades Oriente, Cd. de Méx. UNAM*",54.12
-99.140278,19.484167,DF,CCHVALLEJO,"Colegio de Ciencias y Humanidades Vallejo, Cd. de Méx. UNAM*",103.11
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",115.32
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",108.7
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",80.26
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",120.93
-99.196111,19.311667,DF,CENAPRED,"Centro de Ciencias de la Atmósfera CENAPRED, Cd. de Méx SMN*",73.6
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",105.89
-99.047222,19.442222,DF,CHAPLAGO,"Planta de bombeo Churubusco Lago, Cd. de Méx. SEGIAGUA",62.23
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",232.42
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",67.31
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",144
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",21.56
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de Méx. UNAM*",76.41
-99.105,19.323333,DF,CULHUACAN,"Culhuacán, Cd. de Méx. UNAM*",47.34
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",17.24
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",170.94
-99.162778,19.378333,DF,DELVALLE,"Del Valle, Cd. de Méx. SEGIAGUA",49.03
-99.221111,19.321944,DF,DHUMANOS,"Derechos Humanos, Cd. de Méx. UNAM*",72.45
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",36.59
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",20.56
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",179.06
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",179.29
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",110.4
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",123.2
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de Méx. UNAM*",104.82
-99.167778,19.281667,DF,LAJOYA,"La Joya, Cd. de Méx. UNAM*",76.89
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",44.96
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",203.7
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",245.34
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",114.54
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de Méx. UNAM*",56.32
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de Méx. UNAM*",56.86
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",38.1
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",128.26
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de Méx. UNAM*",58.25
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",49.01
-99.2275,19.294167,DF,PADIERNA,"Padierna, Cd. de Méx. UNAM*",75.54
-99.071667,19.415,DF,PANTITLAN,"Pantitlán, Cd. de Méx. UNAM*",69.12
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",62.21
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",62.48
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",112.27
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",100.58
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",106.91
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",153.92
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",97.02
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",56.13
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",69.06
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",41.88
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",74.16
-99.134722,19.273333,DF,PREPA5,"Prepa 5, Cd. de Méx. UNAM*",69
