LON,LAT,EDO,CLAVE,ESTACION,ene-21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",11.2
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",15
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",4.3
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",7.36
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",3.5
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",12.5
-102.711667,21.836667,AGS,CLVAG,"Calvillo, Ags.",6.1
-101.9925,21.897778,AGS,CNSAG,"Los Conos, Ags.",9.9
-102.296944,22.362778,AGS,CSOAG,"Cosío, Ags.",0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",10.5
-102.371667,21.780556,AGS,NGRAG,"El Niágara, Ags.",3.4
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",8
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",8.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",7
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",3.8
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",2
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",7
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",5.8
-102.109167,21.885,AGS,SNVAG,"Sandovales, Ags.",13
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",15.2
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",36.1
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",45.01
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",22.73
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",56.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",44.3
-116.821111,32.472222,BC,EFLBN,"El Florido, B.C.",45.4
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",65.6
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",22.01
-116.168333,31.104167,BC,ENSBN,"Observatorio de Ensenada, B.C.",65.6
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",75.71
-115.466667,32.55,BC,MXCBN,"Mexicali, B.C.",26.21
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",33.21
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",39.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio López Zamora, B.C. SMN*",0.4
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",58.9
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",60
-115.9375,30.531111,BC,SQNBN,"San Quintín, B.C. SMN*",43.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",61.2
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",19.5
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",3.5
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",0.04
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",6
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",7.31
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",9.01
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",5.5
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",6.42
-110.059167,23.805,BCS,SANBS,"San Antonio Sur, B.C.S.",7
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",12
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",9.81
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",10
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",1.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",17
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",4.1
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",17
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",32.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",35.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",82.4
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",25
-90.558889,19.830556,CAMP,CMPCA,"Campeche, Camp.",10
-91.046111,18.184444,CAMP,CNDCA,"Candelaria, Camp.",29.4
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",13.7
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",50.9
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",50
-89.848333,19.751944,CAMP,HPOCA,"Hopelchén, Camp.",29.6
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",31.4
-92.091944,18.253056,CAMP,PLZCA,"Palizada, Camp.",90.51
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",22
-89.859167,19.664444,CAMP,XCPCA,"Xcupil, Camp.",26.7
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",10
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",26
-107.255556,28.771667,CHIH,BACCH,"Bachíniva, Chih.",1
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del Río, Chih. SGT*",23
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",75
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",88.8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",23
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",22
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",24.5
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",14
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",11.91
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",24.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",25.63
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",10.4
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",25.87
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",0
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",6
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",39.9
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",3.75
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",6.1
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",14.91
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",10.8
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",50.6
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",24.22
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",63.4
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",78.5
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",21.2
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",4.5
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",11.2
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",9
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",11.44
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",21.2
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",8.5
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",4
-104.74,29.5,CHIH,PEGUIS,"Pegüis, Chih. SGT*",9.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",3.81
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",14.91
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",81.7
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",24.5
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",15.01
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",16.01
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",122
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",4.01
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",12.51
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",7.4
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",0
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",0.1
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0.3
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",87.2
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.7
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",2.8
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",64
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",124.8
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",3.6
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",2.62
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",8.2
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comitán, Chis. SMN*",13
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",12.1
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",4.2
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",109.3
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",21.2
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",20.6
